# Author: Diyar Erol
date,close,high,low,open,volume,apple iphone,macbook,fed_rate,us_cpi,usd_index,macro_sentiment_index
2015-07-14,28.0733699798584,28.243227642880512,27.945977158877167,28.169473455696263,127072400,29.0,78.0,0.13,238.034,107.4843,0.06721264600383636
2015-07-15,28.34380340576172,28.417557601042144,28.06666844472385,28.09795779330192,134596800,29.0,78.0,0.13,238.034,108.0149,0.07128747040854788
2015-07-16,28.721508026123047,28.73492066863965,28.462253207136044,28.54941662693819,144889600,29.0,78.0,0.13,238.034,108.1726,0.07249855184206289
2015-07-17,28.969593048095703,28.969593048095703,28.6768134030097,28.848906531066994,184658800,29.0,78.0,0.13,238.034,108.5374,0.075300089615977
2015-07-20,29.517148971557617,29.7182942160703,29.210956814991693,29.271301752458243,235600800,29.0,78.0,0.13,238.034,108.6944,0.07650579529170198
2015-07-21,29.222139358520508,29.70712588930945,29.12603759259452,29.69148292265571,307025600,29.0,78.0,0.13,238.034,108.3893,0.07416273286072295
2015-07-22,27.986202239990234,28.048780920616032,27.264308562448523,27.264308562448523,461802400,29.0,78.0,0.13,238.034,108.7817,0.07717622908463706
2015-07-23,27.972795486450195,28.404141673972877,27.950444494126867,28.20523011931272,203998000,29.0,78.0,0.13,238.034,108.7565,0.07698270180420219
2015-07-24,27.825288772583008,28.102423701392432,27.691191336394024,28.008555666574285,168649200,29.0,78.0,0.13,238.034,109.0174,0.07898632352902168
2015-07-27,27.43864631652832,27.626384138415112,27.29337505220313,27.51016508078476,177822000,29.0,78.0,0.13,238.034,108.6924,0.07649043598373106
2015-07-28,27.574970245361328,27.693424705361824,27.38946962999341,27.574970245361328,134472400,29.0,78.0,0.13,238.034,108.6881,0.0764574134715933
2015-07-29,27.487808227539062,27.60179181286985,27.32689062592886,27.52356845240416,148046800,29.0,78.0,0.13,238.034,108.604,0.07581155457141187
2015-07-30,27.349241256713867,27.39393983206169,27.2017328888116,27.33806576030624,134513200,29.0,78.0,0.13,238.034,109.4328,0.08217645179460265
2015-07-31,27.110095977783203,27.4095801362015,27.02293257614557,27.400640081528277,171540000,29.0,78.0,0.13,238.034,108.7819,0.07717776501543405
2015-08-03,26.47090721130371,27.39394648709443,26.265289281383765,27.15480547009025,279904000,30.0,87.0,0.14,238.033,109.214,0.07862305381286017
2015-08-04,25.62161064147949,26.305508638928767,25.310950982171413,26.242929960095648,496554400,30.0,87.0,0.14,238.033,109.2244,0.07870292221430941
2015-08-05,25.79146385192871,26.247396340447143,25.05392565179637,25.24389709572718,397250400,30.0,87.0,0.14,238.033,109.842,0.08344587651576041
2015-08-06,25.84760093688965,26.15517746013189,25.620849129507224,26.036188514842937,211612000,30.0,87.0,0.14,238.033,109.722,0.08252431803749916
2015-08-07,25.93515968322754,26.09905125335858,25.70616230975964,25.72412335826767,154681600,30.0,87.0,0.14,238.033,109.4376,0.08034022444402023
2015-08-10,26.87808990478516,26.93870629279329,26.161909053278663,26.161909053278663,219806400,30.0,87.0,0.14,238.033,109.1931,0.07846254904456296
2015-08-11,25.47940444946289,26.53234718735069,25.443484071415615,26.449278636773293,388331200,30.0,87.0,0.14,238.033,109.9464,0.08424763239184763
2015-08-12,25.87229347229004,25.91270496835857,24.612803843156907,25.26387718521236,404870000,30.0,87.0,0.14,238.033,109.4655,0.08055448679021593
2015-08-13,25.852088928222656,26.132723845565803,25.71513895153043,26.051900852342207,194143200,30.0,87.0,0.14,238.033,109.9025,0.08391049558188379
2015-08-14,26.03394317626953,26.112520620724425,25.5961533336924,25.665750254086756,171718000,30.0,87.0,0.14,238.033,109.9174,0.08402492242626791
2015-08-17,26.303346633911133,26.413355026346636,25.93066269422852,26.051897166913488,163538800,30.0,87.0,0.14,238.033,110.1435,0.0857612921923917
2015-08-18,26.15517234802246,26.366210338258877,26.04516394821941,26.13945686233631,138242800,30.0,87.0,0.14,238.033,110.2504,0.08658224720344276
2015-08-19,25.820655822753903,26.15966154165718,25.74656779960572,26.06536862830101,193146000,30.0,87.0,0.14,238.033,110.4333,0.08798685591739253
2015-08-20,25.290817260742188,25.6724800355264,25.06181822558408,25.6118636514313,274006400,30.0,87.0,0.14,238.033,110.1077,0.08548636057971037
2015-08-21,23.743959426879883,25.122437995754048,23.719263417269797,24.79241106083701,513102000,30.0,87.0,0.14,238.033,110.1443,0.08576743591558011
2015-08-24,23.15126037597656,24.4264655980314,20.65473136016224,21.29906979204897,648825200,30.0,87.0,0.14,238.033,109.9306,0.0841262938588766
2015-08-25,23.290447235107425,24.945070944636274,23.236565822944648,24.945070944636274,414406400,30.0,87.0,0.14,238.033,110.3394,0.08726573640815305
2015-08-26,24.62627601623535,24.67117691823367,23.58455933156589,24.042554013099515,387098400,30.0,87.0,0.14,238.033,110.5807,0.08911883691485667
2015-08-27,25.351438522338867,25.423281001280163,24.70036509344975,25.19652919413221,338464400,30.0,87.0,0.14,238.033,110.4834,0.08837160658206655
2015-08-28,25.43450355529785,25.43899296023259,25.041614678414888,25.18305405746331,212657600,30.0,87.0,0.14,238.033,110.6714,0.0898153815313425
2015-08-31,25.315509796142575,25.7128880021358,25.144883322567427,25.151618285114207,224917200,30.0,87.0,0.14,238.033,110.5621,0.0889759953507262
2015-09-01,24.18399429321289,25.117946383585014,24.10317130205401,24.729548627105544,307383600,56.0,82.0,0.14,237.498,110.4506,0.08976907515069754
2015-09-02,25.221221923828125,25.221221923828125,24.500551620072176,24.747511731864307,247555200,56.0,82.0,0.14,237.498,110.7979,0.0924362189798652
2015-09-03,24.77894401550293,25.320007305220702,24.704855978054088,25.254899791662,212935600,56.0,82.0,0.14,237.498,110.8566,0.09288701466881466
2015-09-04,24.53197860717773,24.79689800987154,24.36135382859214,24.46462726179692,199985200,56.0,82.0,0.14,237.498,111.1018,0.09477006582606173
2015-09-08,25.21449089050293,25.27061788595885,24.767720486274587,25.08876696879685,219374400,56.0,82.0,0.14,237.498,110.7942,0.09240780426011885
2015-09-09,24.729549407958984,25.598394021062,24.644235296342117,25.540023191161584,340043200,56.0,82.0,0.14,237.498,110.9225,0.09339310386645983
2015-09-10,25.27285385131836,25.432254252358536,24.673418178492778,24.756485004003405,251571200,56.0,82.0,0.14,237.498,110.6331,0.09117061200305321
2015-09-11,25.641048431396484,25.641048431396484,25.09100473198109,25.097739695285533,199662000,56.0,82.0,0.14,237.498,110.6109,0.09100012368457489
2015-09-14,25.88801002502441,26.242732981471587,25.78698213712246,26.17313606815512,233453600,56.0,82.0,0.14,237.498,110.5005,0.09015228988457458
2015-09-15,26.10578727722168,26.16191427144097,25.688202303201315,26.02720982788665,173364800,56.0,82.0,0.14,237.498,110.6394,0.0912189938231619
2015-09-16,26.13496780395508,26.164153216941944,25.917194847376045,26.099045714562475,148694000,56.0,82.0,0.14,237.498,110.1021,0.08709271573674726
2015-09-17,25.57594490051269,26.15293025554825,25.531043996275255,25.966589961389158,256450400,56.0,82.0,0.14,237.498,110.1212,0.08723939712787065
2015-09-18,25.47042465209961,25.661257767972646,25.11570341502017,25.192035291081687,297141200,56.0,82.0,0.14,237.498,109.8165,0.08489940655848571
2015-09-21,25.865554809570312,25.901476895542967,25.51756859422172,25.519812439950503,200888000,56.0,82.0,0.14,237.498,110.6414,0.09123435313113293
2015-09-22,25.45920181274414,25.63431773927507,25.26163372097819,25.45471069455325,201384800,56.0,82.0,0.14,237.498,111.1967,0.09549886498928672
2015-09-23,25.66574478149414,25.75554829009125,25.436747461787984,25.51083377198561,143026800,56.0,82.0,0.14,237.498,111.6287,0.0988164755110269
2015-09-24,25.818416595458984,25.93067058065663,25.227961249948915,25.425527647267216,200878000,56.0,82.0,0.14,237.498,111.4454,0.09740879493548305
2015-09-25,25.753305435180664,26.19783190733453,25.59839440940801,26.14170492267599,224607600,56.0,82.0,0.14,237.498,111.3725,0.09684894815993927
2015-09-28,25.243675231933597,25.721876563690177,25.243675231933597,25.56023056060069,208436000,56.0,82.0,0.14,237.498,111.3914,0.09699409362026545
2015-09-29,24.48483657836914,25.48389798764426,24.2154277224184,25.331232512509576,293461600,56.0,82.0,0.14,237.498,111.5219,0.09799628846537456
